"Identifier","Context","Source string","Translation"
"GLZA053TO","System","{AButton} Yes.","{AButton} Так."
"GLZA054TO","System","{AButton} No.","{AButton} Ні."
"GLZD286TO","System","Use {MovementControls} and then press {BlackButton},  {WhiteButton}, or {RightFlipper} to map the selected power to that button.","Use {MovementControls} and then press {BlackButton},  {WhiteButton}, or {RightFlipper} to map the selected power to that button."
"GLZD287TO","System","To pull out an item from your backpack, point to it with {MovementControls} and then press {AButton}. To return it to your backpack later, press {BButton}.","To pull out an item from your backpack, point to it with {MovementControls} and then press {AButton}. To return it to your backpack later, press {BButton}."
"GLZD351TO","System","Please reconnect the controller to controller port","Підключіть контролер до порту контролера знову."
"GLZD321TO","System","Drag {FullMouse} or use Right {Joystick} TO NAVIGATE.","Перетягуйте {FullMouse} або рухайте ПРАВИЙ {Joystick} ДЛЯ НАВІГАЦІЇ."
"GLZD335TO","System","{AButton} LOAD","{AButton} ЗАВАНТАЖИТИ"
"GLZD336TO","System","{XButton} DELETE","{XButton} ВИДАЛИТИ"
"GLZD338TO","System","{AButton} SAVE","{AButton} ЗБЕРЕГТИ"
"GLZD347TO","System","You don't have enough free space to save this profile.
Press {Abutton} to continue without saving or {Bbutton} to free more space.","У вас недостатньо вільного місця для збереження цього профілю.
Натисніть {Abutton} для продовження без збереження, або {Bbutton} для звільнення місця."
"GLZD348TO","System","You don't have enough free space to save games.
Press {Abutton} to continue without saving or {Bbutton} to free more space.","У вас недостатньо вільного місця для збереження ігор.
Натисніть {Abutton} для продовження без збереження, або {Bbutton} для звільнення місця."
"GLZD356TO","System","{MovementControls} to SCROLL.","{MovementControls} для ПРОКРУЧУВАННЯ."
"GLZD358TO","System","{BButton} BACK","{BButton} НАЗАД"
"GLZD434TO","System","Saving preferences.","Збереження налаштувань."
"GLZD435TO","System","Saving AUTOSAVE: POINT OF NO RETURN.","Триває АВТОЗБЕРЕЖЕННЯ: ТОЧКА НЕПОВЕРНЕННЯ."
"GLZD507TO","System","Saving game.","Збереження гри."
"GLZD560TO","System","Please free","Звільніть"
"GLZD561TO","System","more space.","більше місця."
"GLZD573TO","System","Why aren't you pressing {AButton} ???","Чому не натискаєш на {AButton} ???"
"GLZD587TO","System","Saving autosave.","Триває автозбереження."
"GLZE005TO","System","Use {MovementControls} to aim your toss.","{MovementControls} для націлювання кидка."
"GLZG041TO","System","{BButton} Exit","{BButton} Вийти"
"GLZE015TO","System","Control speed with {MovementControls} or use it to change rails when jumping.","Використовуйте {MovementControls} для керування швидкості або ж зміни рейок під час стрибку."
